Hồ Chí Minh	1
Hà Nội	2
Bắc Kạn	3
Yên Bái	4
Điện Biên	5
Đồng Nai	6
Bình Dương	7
Đà Nẵng	8
Bắc Giang	9
Bắc Ninh	10
Hải Dương	11
Hưng Yên	12
Cần Thơ	13
An Giang	14
Kiên Giang	15
Tiền Giang	16
Ninh Bình	17
Hải Phòng	18
Quảng Ninh	19
Quốc tế	20
Hà Tĩnh	21
Tuyên Quang	22
Hà Nam	23
Tây Ninh	24
Quảng Trị	25
Long An	26
Hậu Giang	27
Bà Rịa - Vũng Tàu	28
Bình Phước	29
Hòa Bình	30
Khác	31
Nam Định	32
Thanh Hóa	33
Nghệ An	34
Quảng Bình	35
Thừa Thiên Huế	36
Lâm Đồng	37
Vĩnh Phúc	38
Gia Lai	39
Thái Nguyên	40
Thái Bình	41
Phú Thọ	42
Khánh Hòa	43
Bình Định	44
Phú Yên	45
Ninh Thuận	46
Vĩnh Long	47
Bến Tre	48
Đồng Tháp	49
Bình Thuận	50
Quảng Nam	51
Quảng Ngãi	52
Cao Bằng	53
ĐBSCL	54
Lạng Sơn	55
Đắk Lắk	56
Lào Cai	57
Sóc Trăng	58
Bạc Liêu	59
Kon Tum	60
Trà Vinh	61
Cà Mau	62
Hà Giang	63
Sơn La	64
KV Nam Trung Bộ	65
Dak Lak	66
Lai Châu	67
KV Đông Nam Bộ	68
KV Bắc Trung Bộ	69
Phnompenh	70
Đồng Bằng Sông Cửu Long	71
KV Tây Nguyên	72
Dak Nông	73
Toàn quốc	74
Thừa Thiên- Huế	75
Kuala Lumpur	76
Bắc Cạn	77
Đồng Bằng Sông Hồng	78
Singapore	79
Indonesia	80
Kratie	81
Attapeu	82
Jakarta	83
Yokohama	84
Vientiane	85
Xiangkhouang	86
Bangkok	87
